adv,1,93.74,113.09,9.91
adv,5,188.99,121.49,10.65
adv,10,251.23,131.58,11.53
ori,1,2.14,10.37,0.91
ori,5,39.47,28.58,2.51
ori,10,80.4,34.86,3.06
